Elscar,99.1,49978,5001,348,868,178
Ril,98.76,59725,5000,111,808,211
AndreasHD,99.13,56703,4994,427,2758,1286
jantsi,97.94,54879,4993,69,1354,849
Hatra,98.91,8130,4989,17,114,75
Hakkun,98.64,64986,4987,61,1687,789
M o M i Z i,98.99,37356,4982,210,1909,648
Cydros,98.96,53335,4980,477,1841,290
Zicks,98.15,7746,4976,15,366,300
ZeonPlay,99.62,141683,4974,4640,3089,119
Takei Hisa,99.27,49698,4974,161,876,47
Takei Hisa,99.27,49698,4974,161,876,47
Ryan Gosling,98.32,67813,4970,35,658,271
DipG,99.01,30582,4965,90,766,375
Hong Meilin,98.21,64977,4962,45,700,583
Cristian,98.34,37091,4957,111,1169,633
PortalLife,98.35,67459,4956,27,725,442
TobiGH3,98.28,24225,4954,20,357,237
Scuderia-,99.06,65029,4952,430,1298,428
R3laX3R,98.91,100911,4951,59,1350,723
Last Remote,98.36,57427,4949,164,1361,352
Backho-,98.84,21154,4947,52,953,676
CatsOnAcid,98.53,45833,4946,20,841,436
DHRHD12,98.6,21572,4945,27,617,405
aerith1025,98.8,83957,4942,292,2473,181
